symbol,n_quote,spread_bps,ask1_depth,rv20_bps,friction,depth,stratum,ok,tick,tick_share,median_price,rel_tick_bps,mean_spread_ticks,frac_one_tick,n_quotes,traded_value
258610,17829,39.447731755424066,212.0,19.743336623889718,H,deep,H-deep,True,1.0,0.6258255800597289,1587.0,6.30119722747322,7.22934544842672,0.13730439172135286,17829,5774170000.0
258790,1048,100.50251256281408,62.0,25.526484881942537,H,shallow,H-shallow,True,1.0,0.5726156069364162,1184.0,8.445945945945946,13.21469465648855,0.04103053435114504,1048,66329000.0
259630,3376,16.207455429497568,95.0,8.05477245267805,L,shallow,L-shallow,True,10.0,0.8482557269052253,12410.0,8.058017727639001,3.175355450236967,0.27399289099526064,3376,1321833000.0
259960,15748,21.07481559536354,224.0,0.0,M,deep,M-deep,True,500.0,0.9787976729153199,237500.0,21.052631578947366,1.1527178054356109,0.8904622809245618,15748,28852902000.0
260660,1011,44.0852314474651,59.0,14.738393515105752,H,shallow,H-shallow,True,5.0,0.8490471414242728,3402.5,14.695077149155033,2.9970326409495547,0.18001978239366964,1011,86758000.0
260930,1138,38.095238095238095,91.0,19.25545571245135,H,shallow,H-shallow,True,5.0,0.7334599910594546,3917.5,12.763241863433313,3.6449912126537787,0.2609841827768014,1138,115562000.0
260970,1758,55.29953917050691,14.0,18.48428835489857,H,shallow,H-shallow,True,100.0,0.8980758101851852,53900.0,18.55287569573284,2.9146757679180886,0.19852104664391354,1758,524304000.0
261200,1084,37.151702786377705,85.0,18.529956763434498,H,shallow,H-shallow,True,5.0,0.6344714686623012,4035.0,12.391573729863692,3.183579335793358,0.22601476014760147,1084,107124000.0
261520,4052,30.1659125188537,99.0,10.139417635030568,M,shallow,M-shallow,True,10.0,0.8239630184907546,9940.0,10.06036217303823,3.3336623889437313,0.2539486673247779,4052,1294269000.0
261780,2609,33.11258278145695,100.0,24.772914946324942,H,shallow,H-shallow,True,5.0,0.8140703517587939,3052.5,16.380016380016382,2.7198160214641627,0.2786508240705251,2609,891558000.0
262260,1421,39.447731755424066,100.0,9.950248756218638,H,shallow,H-shallow,True,10.0,0.7747603833865815,5055.0,19.782393669634025,1.9113300492610839,0.4187192118226601,1421,138875000.0
262840,1274,95.7476767107857,68.0,11.294667395724822,H,shallow,H-shallow,True,1.0,0.6870274572224433,1767.0,5.659309564233164,15.51177394034537,0.047880690737833596,1274,86077000.0
263020,1657,49.62779156327544,159.0,8.298755186721962,H,deep,H-deep,True,5.0,0.9241684467500763,3017.5,16.570008285004143,3.0706095353047678,0.29692214846107423,1657,144250000.0
263600,1635,38.167938931297705,85.0,19.323671497584183,H,shallow,H-shallow,True,10.0,0.829499533727075,5210.0,19.193857965451055,2.1058103975535167,0.37920489296636084,1635,297969000.0
263690,1116,19.43634596695821,205.0,0.0,M,deep,M-deep,True,10.0,0.9172320217096337,5160.0,19.37984496124031,1.4695340501792116,0.5860215053763441,1116,22997000.0
263700,1140,39.138943248532286,148.0,28.763183125599667,H,deep,H-deep,True,5.0,0.8255788067675868,2547.5,19.62708537782139,2.2798245614035086,0.3456140350877193,1140,142089000.0
263720,2241,16.62510390689942,43.0,8.375209380233617,L,shallow,L-shallow,True,10.0,0.8467869222096956,11985.0,8.343763037129746,2.5858991521642123,0.3476126729138777,2241,345270000.0
263750,41672,14.63057790782736,337.0,0.0,L,deep,L-deep,True,100.0,0.9966461302905472,68350.0,14.63057790782736,1.1422537915146862,0.8787435208293338,41672,84991147000.0
263770,1328,20.253164556962027,57.0,7.6026355803349155,M,shallow,M-shallow,True,1.0,0.7150721336370539,1976.5,5.0594485201113075,9.096385542168674,0.25150602409638556,1328,108727000.0
263800,1594,42.46284501061571,54.0,16.034206306787535,H,shallow,H-shallow,True,5.0,0.6676809210526315,4655.0,10.741138560687432,4.340652446675032,0.13864491844416563,1594,217172000.0
263810,1026,33.557046979865774,148.0,8.417508417508657,H,deep,H-deep,True,5.0,0.9206349206349206,2972.5,16.82085786375105,2.086744639376218,0.361598440545809,1026,67781000.0
263860,2258,20.782819535850365,46.0,10.402219140084323,M,shallow,M-shallow,True,10.0,0.6788513210927004,14505.0,6.894174422612892,4.222320637732507,0.20814880425155005,2258,337833000.0
263920,572,70.17543859649123,5.0,28.985507246377384,H,shallow,H-shallow,True,5.0,0.698321554770318,4292.5,11.648223645894001,8.171328671328672,0.12412587412587413,572,24391000.0
264450,8205,20.597322348094746,90.0,7.077140835102247,M,shallow,M-shallow,True,10.0,0.7797290594581189,14275.0,7.005253940455342,3.2672760511882997,0.3157830591102986,8205,3862088000.0
264660,2992,34.06188182470362,78.5,11.248593925758943,H,shallow,H-shallow,True,10.0,0.6539467026480014,17730.0,5.640157924421884,7.061831550802139,0.08155080213903744,2992,1020782000.0
264850,7503,29.806259314456035,458.0,7.547169811321641,M,deep,M-deep,True,10.0,0.9229168065534143,6645.0,15.048908954100828,1.852858856457417,0.4655471144875383,7503,2210865000.0
264900,1712,23.80952380952381,3.0,11.820330969267712,M,shallow,M-shallow,True,10.0,0.7818975725281232,8395.0,11.911852293031567,2.9176401869158877,0.30257009345794394,1712,52764000.0
265520,10867,22.44668911335578,178.0,11.135857461024301,M,deep,M-deep,True,50.0,0.984666481507198,22375.0,22.3463687150838,1.3119536210545688,0.7170332198398822,10867,3060672000.0
265560,1062,35.77817531305904,106.0,11.897679952409534,H,shallow,H-shallow,True,10.0,0.8038700430004778,8420.0,11.876484560570072,3.337099811676083,0.1440677966101695,1062,194957000.0
265740,4956,24.570024570024568,155.0,12.330456226880004,M,deep,M-deep,True,10.0,0.8057284227708631,8145.0,12.277470841006751,2.406779661016949,0.3579499596448749,4956,2497580000.0
267250,22705,18.885741265344667,143.0,0.0,M,deep,M-deep,True,500.0,0.9969625960641464,265250.0,18.85014137606032,1.1352125082580928,0.8922704250165162,22705,34165223000.0
267260,35106,11.092623405435386,157.0,0.0,L,shallow,L-shallow,True,1000.0,0.9954734974175491,902500.0,11.0803324099723,1.0891015780778215,0.9376175012818322,35106,97969055000.0
267270,48757,8.14000814000814,67.0,4.006410256410797,L,shallow,L-shallow,True,100.0,0.9450474688437394,123550.0,8.093889113719142,1.3456253332786414,0.7873169531153862,48758,57131898000.0
267290,980,45.248868778280546,92.0,11.36363636363713,H,shallow,H-shallow,True,50.0,0.9319938176197836,21975.0,22.753128555176335,1.7581632653061225,0.4826530612244898,980,281611000.0
267320,7133,16.246953696181965,1117.0,7.993605115906854,L,deep,L-deep,True,5.0,0.9439474618388356,3092.5,16.16814874696847,1.4961446796579279,0.6753119304640404,7133,1891768000.0
267790,340,84.03361344537815,58.0,10.359751979863718,H,shallow,H-shallow,True,5.0,0.7820030120481928,3622.5,13.802622498274673,5.594117647058823,0.24411764705882352,340,11506000.0
267850,849,19.90049751243781,39.0,9.910802775024985,M,shallow,M-shallow,True,10.0,0.7113870381586918,10050.0,9.950248756218905,2.574793875147232,0.2921083627797409,849,64690000.0
267980,2000,13.745704467353953,23.0,6.854009595613775,L,shallow,L-shallow,True,50.0,0.8999363867684478,36575.0,13.67053998632946,1.721,0.541,2000,313821000.0
268280,1123,32.232070910556004,4.0,16.09657947686083,M,shallow,M-shallow,True,100.0,0.38239308462238397,124250.0,8.048289738430583,5.617097061442564,0.1219946571682992,1123,100087000.0
270520,3252,49.62779156327544,7274.5,0.0,H,deep,H-deep,True,1.0,0.9969616703022749,202.5,49.382716049382715,1.1233087330873308,0.8945264452644527,3252,163527000.0
270660,3770,10.76426264800861,39.0,5.511160099200829,L,shallow,L-shallow,True,10.0,0.7263463355378593,18295.0,5.4659743099207425,2.96763925729443,0.4477453580901857,3770,726525000.0
270870,407,45.81901489117984,53.0,11.461318051575464,H,shallow,H-shallow,True,5.0,0.6736641221374046,4362.5,11.46131805157593,5.525798525798526,0.21621621621621623,407,10677000.0
271560,17350,15.503875968992247,28.0,3.8789759503488064,L,shallow,L-shallow,True,100.0,0.9079294451852281,128950.0,7.754943776657619,2.416772334293948,0.41446685878962536,17350,14754945000.0
271830,2527,31.877590054191902,144.0,12.718600953895987,M,deep,M-deep,True,1.0,0.590872857712236,1574.5,6.351222610352493,6.256430550059359,0.13850415512465375,2527,133041000.0
271940,11560,5.925925925925926,98.0,2.9647198339755043,L,shallow,L-shallow,True,10.0,0.9142975494898404,16995.0,5.884083553986466,1.5910899653979238,0.6453287197231834,11560,2091679000.0
271980,2290,13.812154696132596,13.0,6.90846286701241,L,shallow,L-shallow,True,10.0,0.7618018617021277,14530.0,6.882312456985547,4.105676855895196,0.3650655021834061,2290,375363000.0
272110,8098,26.109660574412533,89.0,13.114754098360049,M,shallow,M-shallow,True,50.0,0.8510582174776564,38150.0,13.106159895150721,2.094961718942949,0.3873795999012102,8098,9338604000.0
272210,98547,7.029876977152901,397.0,0.0,L,deep,L-deep,True,100.0,0.9925180864439269,142350.0,7.024938531787846,1.0640297114096684,0.9475484028087835,98548,251605019000.0
